v8-version,6,1,534,48,0
code-creation,Stub,3,15837,0x1c1776bc1b60,183,"DoubleToIStub"
code-creation,Stub,3,15844,0x1c1776bc1c20,2241,"RecordWriteStub"
code-creation,Stub,3,15850,0x1c1776bc2500,986,"RecordWriteStub"
code-creation,Stub,3,15857,0x1c1776bc28e0,2242,"RecordWriteStub"
code-creation,Stub,3,15863,0x1c1776bc31c0,2269,"RecordWriteStub"
code-creation,Stub,3,15871,0x1c1776bc3aa0,2270,"RecordWriteStub"
code-creation,Stub,3,15877,0x1c1776bc4380,2270,"RecordWriteStub"
code-creation,Stub,3,15883,0x1c1776bc4c60,2253,"RecordWriteStub"
code-creation,Stub,3,15891,0x1c1776bc5540,2311,"RecordWriteStub"
code-creation,Stub,3,15897,0x1c1776bc5e60,2326,"RecordWriteStub"
code-creation,Stub,3,15906,0x1c1776bc6780,365,"CEntryStub"
code-creation,Stub,3,15912,0x1c1776bc6900,2254,"RecordWriteStub"
code-creation,Stub,3,15920,0x1c1776bc71e0,2275,"RecordWriteStub"
code-creation,Stub,3,15926,0x1c1776bc7ae0,2238,"RecordWriteStub"
code-creation,Stub,3,15932,0x1c1776bc83a0,2308,"RecordWriteStub"
code-creation,Stub,3,15938,0x1c1776bc8cc0,2284,"RecordWriteStub"
code-creation,Stub,3,15943,0x1c1776bc95c0,565,"CEntryStub"
code-creation,Stub,3,15949,0x1c1776bc9800,2300,"RecordWriteStub"
code-creation,Stub,3,15954,0x1c1776bca100,2253,"RecordWriteStub"
code-creation,Stub,3,15960,0x1c1776bca9e0,2266,"RecordWriteStub"
code-creation,Builtin,5,15966,0x1c1776bcb2c0,134,"StrictPoisonPillThrower"
code-creation,Builtin,5,15974,0x1c1776bcb360,124,"ReturnReceiver"
code-creation,Builtin,5,15981,0x1c1776bcb3e0,530,"GeneratorPrototypeNext"
code-creation,Builtin,5,15996,0x1c1776bcb600,338,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,16003,0x1c1776bcb760,335,"CreateIterResultObject"
code-creation,Builtin,5,16009,0x1c1776bcb8c0,534,"GeneratorPrototypeReturn"
code-creation,Builtin,5,16016,0x1c1776bcbae0,546,"GeneratorPrototypeThrow"
code-creation,Builtin,5,16024,0x1c1776bcbd20,1656,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,16035,0x1c1776bcc3a0,200,"ToBoolean"
code-creation,Builtin,5,16043,0x1c1776bcc480,4284,"ResolveNativePromise"
code-creation,Builtin,5,16049,0x1c1776bcd540,448,"StringEqual"
code-creation,Builtin,5,16057,0x1c1776bcd700,5296,"PerformNativePromiseThen"
code-creation,Builtin,5,16065,0x1c1776bcebc0,828,"RejectNativePromise"
code-creation,Builtin,5,16072,0x1c1776bcef00,2192,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,16078,0x1c1776bcf7a0,1680,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,16084,0x1c1776bcfe40,1024,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,16092,0x1c1776bd0240,491,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,16098,0x1c1776bd0440,980,"AsyncGeneratorResolve"
code-creation,Builtin,5,16104,0x1c1776bd0820,207,"AsyncGeneratorReject"
code-creation,Builtin,5,16110,0x1c1776bd0900,1024,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,16116,0x1c1776bd0d00,1024,"AsyncGeneratorPrototypeThrow"
code-creation,Builtin,5,16122,0x1c1776bd1100,134,"Illegal"
code-creation,Builtin,5,16129,0x1c1776bd11a0,134,"ObjectAssign"
code-creation,Builtin,5,16136,0x1c1776bd1240,134,"ObjectGetOwnPropertyDescriptor"
code-creation,Builtin,5,16144,0x1c1776bd12e0,134,"ObjectGetOwnPropertyDescriptors"
code-creation,Builtin,5,16150,0x1c1776bd1380,134,"ObjectGetOwnPropertyNames"
code-creation,Builtin,5,16158,0x1c1776bd1420,134,"ObjectGetOwnPropertySymbols"
code-creation,Builtin,5,16165,0x1c1776bd14c0,134,"ObjectIs"
code-creation,Builtin,5,16172,0x1c1776bd1560,134,"ObjectPreventExtensions"
code-creation,Builtin,5,16179,0x1c1776bd1600,134,"ObjectSeal"
code-creation,Builtin,5,16185,0x1c1776bd16a0,972,"ObjectCreate"
code-creation,Builtin,5,16213,0x1c1776bd1a80,134,"ObjectDefineProperties"
code-creation,Builtin,5,16220,0x1c1776bd1b20,134,"ObjectDefineProperty"
code-creation,Builtin,5,16226,0x1c1776bd1bc0,134,"ObjectFreeze"
code-creation,Builtin,5,16232,0x1c1776bd1c60,134,"ObjectGetPrototypeOf"
code-creation,Builtin,5,16238,0x1c1776bd1d00,134,"ObjectSetPrototypeOf"
code-creation,Builtin,5,16244,0x1c1776bd1da0,134,"ObjectIsExtensible"
code-creation,Builtin,5,16250,0x1c1776bd1e40,134,"ObjectIsFrozen"
code-creation,Builtin,5,16255,0x1c1776bd1ee0,134,"ObjectIsSealed"
code-creation,Builtin,5,16261,0x1c1776bd1f80,640,"ObjectKeys"
code-creation,Builtin,5,16267,0x1c1776bd2200,134,"ObjectEntries"
code-creation,Builtin,5,16272,0x1c1776bd22a0,134,"ObjectValues"
code-creation,Builtin,5,16276,0x1c1776bd2340,134,"ObjectDefineGetter"
code-creation,Builtin,5,16281,0x1c1776bd23e0,134,"ObjectDefineSetter"
code-creation,Builtin,5,16285,0x1c1776bd2480,2155,"ObjectHasOwnProperty"
code-creation,Builtin,5,16289,0x1c1776bd2d00,134,"ObjectLookupGetter"
code-creation,Builtin,5,16293,0x1c1776bd2da0,134,"ObjectLookupSetter"
code-creation,Builtin,5,16297,0x1c1776bd2e40,319,"ObjectPrototypeIsPrototypeOf"
code-creation,Builtin,5,16301,0x1c1776bd2f80,134,"ObjectPrototypePropertyIsEnumerable"
code-creation,Builtin,5,16305,0x1c1776bd3020,880,"ObjectProtoToString"
code-creation,Builtin,5,16310,0x1c1776bd33a0,139,"ObjectPrototypeValueOf"
code-creation,Builtin,5,16314,0x1c1776bd3440,134,"ObjectPrototypeGetProto"
code-creation,Builtin,5,16318,0x1c1776bd34e0,134,"ObjectPrototypeSetProto"
code-creation,Builtin,5,16322,0x1c1776bd3580,134,"FunctionConstructor"
code-creation,Builtin,5,16326,0x1c1776bd3620,160,"FunctionPrototypeApply"
code-creation,Builtin,5,16331,0x1c1776bd36c0,1392,"CallWithArrayLike"
code-creation,Builtin,5,16335,0x1c1776bd3c40,177,"CallVarargs"
code-creation,Builtin,5,16339,0x1c1776bd3d00,964,"FastFunctionPrototypeBind"
code-creation,Builtin,5,16344,0x1c1776bd40e0,134,"FunctionPrototypeBind"
code-creation,Builtin,5,16348,0x1c1776bd4180,143,"FunctionPrototypeCall"
code-creation,Builtin,5,16353,0x1c1776bd4220,134,"FunctionPrototypeToString"
code-creation,Builtin,5,16357,0x1c1776bd42c0,355,"FunctionPrototypeHasInstance"
code-creation,Builtin,5,16361,0x1c1776bd4440,143,"AsyncIteratorValueUnwrap"
code-creation,Builtin,5,16366,0x1c1776bd44e0,1160,"AsyncGeneratorAwaitCaught"
code-creation,Builtin,5,16370,0x1c1776bd4980,1136,"AsyncGeneratorAwaitUncaught"
code-creation,Builtin,5,16375,0x1c1776bd4e00,251,"AsyncGeneratorAwaitResolveClosure"
code-creation,Builtin,5,16380,0x1c1776bd4f00,259,"AsyncGeneratorAwaitRejectClosure"
code-creation,Builtin,5,16384,0x1c1776bd5020,116,"ArrayCode"
code-creation,Builtin,5,16388,0x1c1776bd50a0,203,"ArrayIsArray"
code-creation,Builtin,5,16392,0x1c1776bd5180,134,"ArrayConcat"
code-creation,Builtin,5,16396,0x1c1776bd5220,763,"FastArrayPop"
code-creation,Builtin,5,16400,0x1c1776bd5520,134,"ArrayPop"
code-creation,Builtin,5,16405,0x1c1776bd55c0,2660,"FastArrayPush"
code-creation,Builtin,5,16409,0x1c1776bd6040,134,"ArrayPush"
